Text,Sentiment
Not as good as described..,neutral
"Video quality is good, sound is also perfect. Previously I was using Samsung Tv and I don’t think there’s difference.",positive
Great product for travelers and it has in built mi technology like slow charging for Bluetooth devices and discharge facilities wen phone ir device is fully charged .. awesome product,positive
Awesome phone in small budget,positive
If you want earphone with some base then you should not go for these c50 earphone. Base quality is low as compared to other jbl products,neutral
If we compared with BOAT200.. the sound quality is not good.... Boat 200 will get around 1200 rupees ...,neutral
device is working finebut google home little bit confusing,neutral
"with replacement and sbi discount got the phone n Rs. 7559/-, good phone in this range took for dad he is happy to use it, good performance, camera, battery life is good, only few apps work on fullscren resolution, the bothom of the screen is wate material",positive
the book is no doubt helpful. it will boost your confidence. the book is very light weight to carry when you are travellong. but the cover was torn when i got it delivered. had to apply cello tape to prevent it from more tearing.,positive
is this c type this is preffered for apple 11,neutral
"Two Sims with memory card not allowed. Poor camera. Good sound. Battery life is good. If you want to use memory card, you can use only one sim",neutral
Small budget? Don't worry this Mobile will fulfill all your smart needs,neutral
Battery power lo,positive
Nothing more about the excellence of Apple iPhone. But the pricing of XR category is very much liked and affordable to the common user.,positive
Good one in budget price range,positive
Good Mobile its value for money,neutral
worst experience from flipkart got product with no refunds aas per flipkart no one will look your issue,negative
"The mobile takes a long time to charge,and the discharge is rapid.It also hangs a lot. This type of product is not expected from a renowned makers.The product may have not been done proper QC checks.Ultimately I was compelled to sell at 60 percent price in 3months usage only.",negative
"This is the most honest and accurate review you will find. 1.The phone looks Amazing the touch and hold feel is excellent. 2 .Display, Sound quality is more than excellent. 3.Battery doesn't get charge fast .it takes time even with the fast charger. And lasts upto 12hrs of continuous use on full charge . 4.The phone has an heating issue .it warms up a bit. 5.The 6gb ram isn't worth the feel . 6.The Camera quality is just ok .For a camera guy or a selfie lover this phone is a big No ! 7.The build quality is good and worth spending 18k .",neutral
Awesome :),positive
hated it very bad product,negative
item is very poor quality,negative
riview after 6 months its broken without any reason while having lunchbits suddently broken 3 plates broken same way,negative
It has problem in bluetooth connectivity with Bluetooth Headsets. Could not not pair with boAt 600.,neutral
Excellent..great product..good build quality..good performance,positive
extent product,neutral
Book for those struggling to find friends,positive
"I bought this mobile for battery life and I'm absolutely happy that this mobile could last more than a day beyond my extensive usage(6-8 hours of calls & multiple business apps). Thanks a lot @Samasung for the battery beast. I had Redmi A2 earlier, which use to last hardly a day with full charge. Comparatively screen quality is quite impressive than A2. Its been a fortnight usage, Over all experience is 4.5/5 considering camera quality, processing speed and fingerprint reader. I haven't tested with fast charging but it takes 2 hrs to charge from 10 - 100% with box charger. I would suggest to go with this if you are looking for battery life budget mobile with all required features like ""fingerprint scanner, good battery life"" etc. Cons: 1.No NFC support so contactless transactions not possible. If you are serious about contactless payment just think. 2.No on screen fingerprint reader and in this budget segment with all features and back side reader, this is ok. 3. With given charger it takes time to charge mobile so we may need to buy a fast charger separately. 4. No ear phones in box, we have option to buy desired headset than getting a basic ear phones.",positive
still working after 10 months of purchase,neutral
Best sound better then my JBL GO,positive
its button quality is bad,negative
"It's a great phone with super amoled display and enormous battery .. Everything is good for this price Downside is camera , literally sucks No gorilla glass , never drop your phone . They won't provide back case or screen guard in box . Full charging time takes 2 hours",positive
good product but cost very high,neutral
"My order TCL TV received on 16.10.2019 , but installation not done . appointment date and time not received",negative
"Very nice performance. i use it for my raspberry pi. never faced any lag, data issue or anything.",positive
"Thanks to amazon for quick Delivery. Coming to product, its bit heavy due to its battery capacity. Camera is the only disadvantage. Those who are frequent photo snappers, this product is not for you. Overall good product at lowest price.",positive
Nope,positive
faddu router dont buy it,negative
No fast charing for my Nexus 6P.,negative
excellant,neutral
This is very good phone i am using mi phone last two years.....,positive
"Came to this phone after selling my Google Pixel XL, which was a great phone on its own, but wanted to see what the fuss is about iOS and Apple's better app ecosystem and all that. My main comparison of this phone will remain with the Pixel. Positives first: - Top class build quality. The phone looks solid, feels solid. Finishing of the product is top notch. - Taptic Engine. Vibration motor of a phone is a hugely important thing and this phone has the best vibration I have ever experienced. No Android flagship phone I have used has anywhere near the intensity or quality. Reminds me of the olden days of them Nokia phones with huge vibration motor inside them. Great job there hands down. - Camera is good. In low light especially. Noise are kept well in control. Overall the camera can't beat Pixel, can't beat a lot of other phones anyway, but its a good camera, especially for someone who used to use DLSRs for long time to appreciate natural, less saturated output. And video quality is tremendously good. Though the front camera is awful. I almost never use it, but coming from a Pixel it felt like having a VGA front camera. - Fingerprint reader is in the best position in front, and it works every time. - Smoothness. Well smoothness is good. Definitely much less frame drops overall across the UI than Pixel, but not to an extent where it could make significant difference anyway. - RAM Management. Excellent. For a phone having 2 gigs of RAM, well I can only laugh at Android. Where Pixel reloaded apps with double RAM, this thing can apps in memory. - Battery life. Very good. For a tiny sized battery, I am getting 6-7 hours of SoT with 24 hours of standby time. - RAW Speed. Needless to say anything about the A10 chipset. It chews graphically demanding games and apps like nothing. There simply is no Android phone which can come anywhere close. Now the Negatives, which outdo the positives for my usage: - Most impractical and unintuitive OS I have ever experienced. The scrolling mechanism is stupid. You can't scroll fast up or down, it will stuck at a point, so you will get tired. And it misses some touches in the process to. Waste of time. Free flow scrolling for life. Then there is no system wide BACK option. This will drive you bonkers if you are coming from android. Every app is different, where most apps do have the gesture support of left to right to go back to previous screen, its still nowhere near as fast as simply hitting a back button. And on some apps there simply is no gesture support, like Paytm for example. And the back button is located on TOP LEFT corner, which you can't reach with one hand, and I am using the smaller version of the phone. You can touch the home button twice to activate a reduced sized display of current screen, but it goes away as soon as you do something which requires to move to another screen. Ridiculous beyond explanation. Also there is no share option to other apps like Snapseed or Drive or Google Photos directly from the native Photos app! Another time wasting thing! There is no T9 support on the native dialler. ROFL. - Call quality. I don't know but I just don't like the call quality, especially when I am coming from a phone which had brilliant call quality. - SAR value! Don't know how it could be that absurdly high! Check GSMArena specs! Scary really! - No fast charging. This simply should be here. Even this smaller battery takes full two hours to charge fully, LoL. That's it basically. When this phone works for a lot of people, who think that this phone is miles ahead in terms of whatever, probably for the fruit logo at back side, this was simply not for me. Absolutely ridiculous amount of time I wasted trying to do simple things. I never did care about the Apple logo, God knows which type of people care about that, so for me, I need something which is much more practical, much more intuitive, and which won't drive me bonkers for simple stuffs, so yeah that was Apple for me. Best of luck. Regards, Saurav",negative
not workingby the time i tested return policy completed,neutral
"I was bit worried about the authenticity of buying iphone online with unknown seller and by paying huge amount ,I took the Risk but i would say amazon and seller has done a wonderful job ,i checked the product in apple website and its a genuine product with 1 year warranty..iphone is iphone with best processor,camera ,good battery life ,good for gaming and with regular updates from apple ..",positive
Due to a complete Google Android os not as much user friendly as per mi Android os,neutral
Very good budget segment phone for best and overall experience,positive
ok okk,neutral
Good sound worthy product,positive
All functions good Only battery working not good,positive
main thing is space management samsung managed but not done smartly lg is best in space management we can not put 225 drink bottle vertically in fridge even single door fridge can we can not put medium sized utensils with out removing one rack performance is ok design is good not so practical,neutral
product is genuinebut its price sometimes goes up and down,neutral
The product seems pretty good till yet. But the package when I got in my hand was not expectable as the Sony seal was broken and the box was wrap is cello-tape .,neutral
very poor quality damaged items,negative
go for electric cycle instead of this,neutral
very bad productive purchased this product on oct 16 it worked fine in start and then after few months started showing its true colour within 6 months it1 it started heating up even in simplest and regular operations2 shutting off evenlyand all of the main is their customer serviceall the contact numbers for customer service are wrong i stay in mumbai so i tried mumbai contact no but it was switched off all the time so i tried thane the results were the sameplease dont,negative
I want to return PANASONIC 4K UHD led,neutral
there were some over coloursome stitches were not propely,neutral
Battery has a long life. Ofcourse it depends on how much you use it. But its quite good. Sleek design with most of the features. Finger print unlocks. And the camera I'm in love with it you dont need any other cam app for this. It captures beautiful pictures front as well as rear cameras are the best part of this phone. And ofcourse it's a new phone so all thd features are superbly working let's see after some more months 😅,positive
its oky,neutral
no bast quality,negative
water heat very fast,neutral
Best low budget phone i have ever used and nice display nice sound soft touches and nice colors nice handling nice processing and good speed and specifications .Thanks Amazon and Samsung for the wonderful service and product I got phone in 2 days with Amazon delivery and a safe package,positive
best product but installation not free this is very worng u can give installation free on this product overall your product is very good,neutral
nothing to say very worst,negative
grinding time is heating,neutral
Less battery life,neutral
dont take this board take a rubber tyre skateboard,negative
it do not have battry,negative
Good product. Sound quality is good ( for which JBL is known and for which I trust the brand). It has a mic as well for attending calls as well as the button can be used to play on/off songs as well (given that your phone does have a music player ;),positive
Overall Good product.. Im more happy with camera and battery back up. Thanks amazon,positive
All the 1 star I have given because I have received a different product shown on website it is old rusty and not working,negative
very tight i dont like it,neutral
packing is worst,negative
I bought the mobile in overpriced. Around 2000rupees. Seller cheating to me. Worst business idea. If u move in the sameway... not good for long-term. Mind it,negative
"Have been using the phone for the past 2 weeks. This is my first Samsung phone. Would not go for Samsung in the past as they were too expensive and laggy in the midrange models. My previous phone was an Asus max pro m1 which was excellent but the battery had puffed up within 13 months and hence I decided to replace it. Would have blindly gone for another Asus but there was no proper successor to the max pro! Anyways, the hiccup I mention happened to be this weird behavior of my idea sim. The idea sim would not allow itself to be registered on the network. I would get the network bars but no calls ,no internet could be made. Tried multiple idea sims but same issue. Vodafone n jio worked fine. Amazon customer support was poor. I explained the problem but they insisted on sending a technician to physically inspect the phone a week later. I had to roam with two phones for over a week as I use dual sims. First time I was disappointed with Amazon return policy. Anyways, the technician dint turn up( great after sales support Amazon!!)and I just reinserted the idea sim into the phone and it worked flawlessly. I have no idea what made it work but there was some writing on the Samsung box mentioning using Indian sim card first and then other foreign sims can buy used. Never heard of this in any other phones I had... guess this was causing the issue . Now the everything works fine! I hope it doesn't return again as the replacement window is over . The positive are its 6k mAh battery though it shows it to be 5800 odd mAh design capacity on AccuBattery and 5364 mAh as estimated capacity. I get 10hrs screen on time which is what I expected. I am a heavy phone user n hence I needed a big battery phone! The camera is good enough and the amoled screen is awesome! The negatives which might put of some people are the lack of ambient light sensor, it automatically adjusts brightness but it's a little slow to react,seems to use the front camera to assist in that. This makes finding the answer menu difficult if u pull ur phone out of ur pocket in bright sunlight. Due to my initial hiccup, feel network range is spotty, making calls require two tries to connect sometimes, happens on n off. No double tap to wake makes u use the physical button wake the phone. The phone doesn't come with Corning glass, so a screen guard is a must. Also the speaker is that loud enough. Overall, a very good device from Samsung, worth it for its battery and screen. Lack of ambient light sensor is the only negative that impacts me a lot.",positive
"It took quarter of a century to accumulate information and write this book, such a persistent and consistent effort. The author had written a great book of life full of lessons. It is written on the back of this book that "" this book is probably the best self help book ever written"" i agree with that line and support it. This book was published in 1940's ,a bit old book but had every bit of relevant and eternal information which we think of now and ever. THINK AND GROW RICH was the title of the book but reading this book twice I came to know that lot more titles suit this book and a few I thought were THINK AND GROW PERSONALITY THINK AND GROW CHARACTER THINK AND GROW WISDOM THINK AND GROW MOTIVATION. Fabulous book and continuing to admire the work.",positive
delivered next day well packed no damages working fine in date lowest price compared to other sites,negative
too big and noisy,neutral
handy very much wort it,neutral
jeevs service partnership is a very wrong choice of flipkart,negative
Got at 18000 at sale.....,positive
The HDMI extension doesnt work at all. Black screen on boot. Firestick works fine without the attachment,negative
Not good in comparison of MI A1. I have used MI A1 1 year and when MIA1 got launch I go for it because of its Camera specifications but believe me it is worst phone once I start to use it. Got hanged a lot of time totally wastage of money.,positive
In good condition.,positive
it is only for less than 60 kg if it is loaded by more than 60 kg than its stop working,negative
What u see is what u get only in canon,positive
I really like the product,positive
worst speaker its a very annoying speaker if you are thinking to buy smart speaker under this range dont go for this at all if you are really in a modd of getting frustrated them only buy this speaker alexa is far better than this its really a worst product,negative
d product,neutral
got it for just ₹169 . GIF 2019 Price = 799 Collected Coupon = 100 STORES500 Coupon = 500 Paytm UPI offer = 30 . Amazon is Raja...Flopkart is Mantri...😊,positive
quality is very good,neutral
Charger not working.i have not charged more than5 to 6 times...,negative
"It stopped working during updating on the very first day I received it before descending into being stuck at showing Repair. The little time I did use it, the battery life and display are not up to the mark. Later I found out that the HDD was shot. Then, I had a harrowing time with Amazon Customer Service for the next 10 days before getting a refund. Do not go for this product.",negative
working wellbut fr large family need to go fr 25ltrssmall family can go fr 15ltrs,neutral
Got Damaged product,negative
No use its laging full time.Am using this phone for ubereats and even though its laging.Worst phone ever.If you have 6500 the go for the redmi 6 which is now 6999,neutral
"I received the phone on 27th and wanted to return on 4th April. The speakers of the phone dont work properly and I intended to to return it back. Neither speaker-mode nor handset mode nor headphone modes are working. The voice is so jittery and poor irrespective of the SIM type and network. I tried the phone with all possible SIMS ... Airtel, Jio, Idea . But I have been told to contact apple not amazon to do so even though I am eligible for return till 6th April. They say its their policy with apple. Why didnot they tell me this while buying the phone? I am stuck now so awfully. People have been warning me not to buy from amazon but I did not heed to their warnings and believed amazon. I was feel really angry and disappointed with the way the situation is being handled.",negative
poore and not good,negative
"Do not buy this phone or go though this exchage offer. They are selling software corrupted devices with exchange offers. They don't even replaced your phone, you have only option for MI service center.",negative
fluffy,neutral
"Mobile software is old and same is running from long, need to update new, camera quality is dul rest all fine",neutral
"Sound quality is excellent, picture quality is little low but battery life is perfect with fast charging. Special thanks to dealer from where phone was dispatched towards me !!. Thanks Amazon !!",positive
Basic knowledge,positive
Pathetic . A very poor product delivered. Have lots of problem since I bought,negative
dont buy,neutral
"After using it for 2-3 months, the headphone is not working!... Waste of money!... Used it decently but still it stopped working!.... Don't spent ur money buying this!",negative
"Within 2 weeks the bottom half of the screen went black and now the touch screen does not respond. Went to Mi service centers, there are no stocks available to replace the touch screen. Really annoyed!!!",negative
"nice phone, I am glad to use this i phone",positive
no pipe and no plug in this,negative
its not in working condition,neutral
"redmi 6 pro is the best phone you can buy at this price it is true value of money, though i was disappointed with its picture quality, but if you are looking to buy gift for your mom dad who doesnt need regular updates this is best phone",neutral
"Not the best one, but okay if you watch for an hour or so in a day",neutral
Excellent budget phone from vivo thanks Amazon for delivering in one day only superb phone bettery back up is awesom and full charge in just 2 plus hours,positive
dont buy this product is not working after one week of purchase,negative
only good thing about The product is it is less cost,neutral
Awesome features but battery is local.,positive
"Received power bank is not able to charge Note 7 Pro twice fully. not satisfied with the product. ideally if it's 10000 mah, then it should at least provide 2 full charge for Note 7 Pro which has 4000 mah battery.",neutral
It's just been around 4 months and the phone is not working properly I am trying to call the Amazon customer service but there is no response..,negative
i purchased during deepawali deals installed on 15 nov so far working goodthe install person forcefully suggested me for pre filter which costs me rs 660 after installation he showed me tds of my well water as well as tds of livepure pep pro plus which is around 46 water tastes is good now regarding water waste which i tested experimentally that for 7 litres of water which it filters around 35 liters of water is wasted 5 times wastagenow regarding storage its storage capacity is too l,neutral
Awsome !! Pros :- Display quality Performance Battery life 3-4 hrs Cons :- No cons 😅,positive
Not bad but not worth of 10k,neutral
cheap price and performance,neutral
Charger is not properly fitting. Mobile is being very hit during charging,neutral
Amazon did not provided the original bill of Apple Xr to me in soft copy at my email nor hard cooy to my house. Please provide the same at the earliest. Rest phone specifications lies between 2 to 3 star only.,neutral
used only a few times rice is sticky but could be done right with correct amount of water but couldnt figure out correct ratio takes time to heat up after 5 or 7 minutes water will start boiling but cheap and helped in a hard situation,negative
"Everything is amazing here in this Samasung M30s. Only one disappointment is the back panel,its getting scratched easily and the quality was little bit disappointing. Except this the phone was amazing stunning phone in this price. Please build the back panel with good metal or steel. Don't use plastics it's not up to the level. Bcoz the paint getting out and scratches made on it is easy for even small dust it's getting scratched..",positive
Picture quality is good with good battery life however the sound is low as compared to Mi Note 5 Pro. Having said that the speakers r good enough and is not an issue. Delivery by Amazon Prime guy was pathetic. Had to follow up multiple times and requests to have it delivered. Very very pathetic experience for a prime subscriber.,positive
not like last time i purchased,negative
product worked fine for exactly a year and then is out of order hmm not sure it is good or bad to me it is not good enough with minimal use for 20min a day a product going bad in an year is not expected,negative
Nice but some issues is their like over heat body and cooling cut off ...,neutral
avareage,neutral
Using it currently,positive
good product but 3side same angle,neutral
